Name,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
blocksworld_problem_12_51__0,5411.27347946167,1.0,2,3.0
blocksworld_problem_12_53__0,5393.732786178589,1.0,2,3.0
blocksworld_problem_12_54__0,6298.735857009888,1.0,2,3.0
blocksworld_problem_12_55__0,5819.580078125,1.0,2,3.0
blocksworld_problem_12_57__0,5427.970170974731,1.0,2,3.0
blocksworld_problem_12_58__0,5187.772750854492,1.0,2,3.0
blocksworld_problem_12_59__0,5639.0228271484375,1.0,2,3.0
blocksworld_problem_12_5__0,7079.479455947876,1.0,2,1.0
blocksworld_problem_12_60__0,5540.208101272583,1.0,2,3.0
blocksworld_problem_12_61__0,5548.755645751953,1.0,2,3.0
blocksworld_problem_12_62__0,11809.409141540527,1.0,2,1.0
blocksworld_problem_12_63__0,46473.52910041809,1.0,2,1.0
blocksworld_problem_12_64__0,5419.126033782959,1.0,2,3.0
blocksworld_problem_12_65__0,6767.166376113892,1.0,2,3.0
blocksworld_problem_12_66__0,11387.446641921995,1.0,2,1.0
blocksworld_problem_12_67__0,5018.385410308838,1.0,2,3.0
blocksworld_problem_12_68__0,5177.599191665649,1.0,2,3.0
blocksworld_problem_12_69__0,4962.990760803223,1.0,2,3.0
blocksworld_problem_12_6__0,5799.975395202637,1.0,2,3.0
blocksworld_problem_12_70__0,15874.70555305481,1.0,2,1.0
blocksworld_problem_12_77__0,6044.241189956665,1.0,2,3.0
blocksworld_problem_12_7__0,13193.353414535522,1.0,2,1.0
blocksworld_problem_12_8__0,5768.897294998169,1.0,2,3.0
driverlog_problem_3_5_6_6112__0,6163.868427276611,1.0,1,
driverlog_problem_3_5_6_6121__0,8472.024917602539,1.0,2,1.0
driverlog_problem_3_5_6_6125__0,5911.098480224609,1.0,1,
driverlog_problem_3_5_6_6139__0,6456.337928771973,1.0,2,3.0
driverlog_problem_3_5_6_6140__0,6445.159196853638,1.0,1,
driverlog_problem_3_5_6_6146__0,6389.974594116211,1.0,1,
driverlog_problem_3_5_6_6155__0,6501.573324203491,1.0,1,
driverlog_problem_3_5_6_6168__0,7991.77074432373,1.0,2,1.0
driverlog_problem_3_5_6_6171__0,5988.2752895355225,1.0,2,3.0
driverlog_problem_3_5_6_6174__0,5869.481801986694,1.0,2,3.0
driverlog_problem_3_5_6_6175__0,6654.0937423706055,1.0,1,
driverlog_problem_3_5_6_6180__0,5992.435216903687,1.0,1,
driverlog_problem_3_5_6_6182__0,6005.01561164856,1.0,2,3.0
ferry_ferry-l6-c6__0,5722.745180130005,1.0,2,3.0
ferry_ferry-l6-c6__1,5369.3695068359375,1.0,1,
ferry_ferry-l6-c6__10,5704.527616500855,1.0,1,
ferry_ferry-l6-c6__11,5481.897830963135,1.0,1,
ferry_ferry-l6-c6__12,6192.872047424316,1.0,1,
ferry_ferry-l6-c6__13,5674.472332000732,1.0,1,
ferry_ferry-l6-c6__14,5431.668758392334,1.0,1,
ferry_ferry-l6-c6__15,5967.586755752564,1.0,1,
ferry_ferry-l6-c6__16,5051.906585693359,1.0,2,3.0
ferry_ferry-l6-c6__17,6211.152791976929,1.0,2,3.0
ferry_ferry-l6-c6__18,5688.856601715088,1.0,1,
ferry_ferry-l6-c6__19,5483.705997467041,1.0,1,
ferry_ferry-l6-c6__2,5447.453498840332,1.0,1,
ferry_ferry-l6-c6__20,5582.54861831665,1.0,1,
ferry_ferry-l6-c6__21,5655.45654296875,1.0,1,
ferry_ferry-l6-c6__22,5299.04055595398,1.0,1,
ferry_ferry-l6-c6__23,5319.797992706299,1.0,1,
ferry_ferry-l6-c6__24,5477.713823318481,1.0,1,
ferry_ferry-l6-c6__25,5437.037467956543,1.0,1,
ferry_ferry-l6-c6__26,5504.893779754639,1.0,1,
ferry_ferry-l6-c6__27,5223.170518875122,1.0,1,
ferry_ferry-l6-c6__28,5365.2520179748535,1.0,1,
ferry_ferry-l6-c6__29,5645.734071731567,1.0,1,
ferry_ferry-l6-c6__3,5717.087745666504,1.0,1,
ferry_ferry-l6-c6__30,5076.871871948242,1.0,1,
ferry_ferry-l6-c6__31,5077.037572860718,1.0,1,
ferry_ferry-l6-c6__32,5801.291942596436,1.0,1,
ferry_ferry-l6-c6__33,5168.35880279541,1.0,1,
ferry_ferry-l6-c6__34,5710.818767547607,1.0,1,
ferry_ferry-l6-c6__35,5848.79994392395,1.0,1,
ferry_ferry-l6-c6__36,5249.857664108276,1.0,1,
ferry_ferry-l6-c6__37,5534.988641738892,1.0,1,
ferry_ferry-l6-c6__38,5129.17160987854,1.0,1,
ferry_ferry-l6-c6__39,5714.580059051514,1.0,1,
ferry_ferry-l6-c6__4,5638.532400131226,1.0,1,
ferry_ferry-l6-c6__40,5820.845127105713,1.0,1,
ferry_ferry-l6-c6__41,5557.210683822632,1.0,1,
ferry_ferry-l6-c6__42,5726.311445236206,1.0,1,
ferry_ferry-l6-c6__43,5254.963159561157,1.0,1,
ferry_ferry-l6-c6__44,5942.997694015503,1.0,2,3.0
ferry_ferry-l6-c6__45,5741.511344909668,1.0,1,
ferry_ferry-l6-c6__46,5666.335582733154,1.0,1,
ferry_ferry-l6-c6__47,5268.0253982543945,1.0,1,
ferry_ferry-l6-c6__48,5435.137271881104,1.0,1,
ferry_ferry-l6-c6__49,5334.485054016113,1.0,1,
ferry_ferry-l6-c6__5,5529.250621795654,1.0,1,
ferry_ferry-l6-c6__50,5615.40412902832,1.0,1,
ferry_ferry-l6-c6__51,5463.676452636719,1.0,1,
ferry_ferry-l6-c6__52,5222.322702407837,1.0,1,
ferry_ferry-l6-c6__53,5614.61877822876,1.0,1,
ferry_ferry-l6-c6__54,5609.072208404541,1.0,1,
ferry_ferry-l6-c6__55,5790.119886398315,1.0,1,
ferry_ferry-l6-c6__56,5697.6158618927,1.0,1,
