Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
ferry-l6-c6__77,2309.425116,1,2,1,5342.61775,1,1,,5228.616238,1,1,
ferry-l6-c6__95,2310.61697,1,2,1,5719.099522,1,1,,5793.431759,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__9,2310.635805,1,2,1,,,,,5277.236462,1,1,
ferry-l6-c6__16,2311.615944,1,2,1,5564.837933,1,1,,5051.906586,1,2,3
zBW_problem_12_61__0,2312.092543,1,2,1,9372.366667,1,2,1,5548.755646,1,2,3
ferry-l6-c6__19,2312.913418,1,2,1,5118.985176,1,1,,5483.705997,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__14,2312.921047,1,2,1,,,,,5659.846067,1,1,
zBW_problem_10_118__0,2313.85994,1,2,1,9377.708435,1,2,1,5087.282896,1,2,3
ferry-l6-c6__86,2313.940763,1,2,1,5372.052431,1,1,,5176.68438,1,1,
zBW_problem_6_135__0,2314.653873,1,2,1,6682.667732,1,2,1,6531.843424,0,-1,-1
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__30,2316.599131,1,2,1,,,,,5471.743822,1,1,
ferry-l6-c6__44,2317.133665,1,2,1,5644.638538,1,1,,5942.997694,1,2,3
ferry-l6-c6__39,2317.535639,1,2,1,5713.359356,1,1,,5714.580059,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__46,2319.495201,1,2,1,,,,,5620.913029,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__34,2319.689035,1,2,1,,,,,5177.680254,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__35,2319.920778,1,2,1,,,,,5716.140032,1,1,
ferry-l6-c6__50,2320.032597,1,2,1,5659.846067,1,1,,5615.404129,1,1,
zBW_problem_6_199__0,2322.90411,1,2,1,7379.250765,1,2,1,6318.641186,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__28,2322.931767,1,2,1,,,,,5433.083534,1,1,
ferry-l6-c6__48,2323.215008,1,2,1,5684.336662,1,1,,5435.137272,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__7,2323.362827,1,2,1,,,,,5644.638538,1,1,
ferry-l6-c6__43,2323.728323,1,2,1,5327.89135,1,1,,5254.96316,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__36,2324.287653,1,2,1,,,,,5605.052471,1,1,
ferry-l6-c6__33,2324.348211,1,2,1,5300.272703,1,1,,5168.358803,1,1,
ferry-l6-c6__30,2324.371099,1,2,1,5396.121502,1,1,,5076.871872,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__49,2325.162649,1,2,1,,,,,5442.254543,1,1,
zBW_problem_12_1__0,2326.802254,1,2,1,5945.416689,1,2,1,5935.106277,1,2,3
ferry-l6-c6__54,2329.85568,1,2,1,5612.480164,1,1,,5609.072208,1,1,
ferry-l6-c6__45,2330.550909,1,2,1,5014.867783,1,1,,5741.511345,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__29,2330.62315,1,2,1,,,,,5273.801565,1,1,
zBW_problem_6_193__0,2331.709623,1,2,1,6862.509012,1,2,1,6328.335047,1,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__18,2333.996534,1,2,1,,,,,5286.920786,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__19,2334.15103,1,2,1,,,,,5690.637112,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__39,2334.73134,1,2,1,,,,,5385.764837,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__31,2337.005377,1,2,1,,,,,5643.613815,1,1,
ferry-l6-c6__7,2337.179661,1,2,1,5591.420174,1,1,,5205.276251,1,1,
ferry-l6-c6__28,2337.897778,1,2,1,5351.595402,1,1,,5365.252018,1,1,
zBW_problem_6_192__0,2337.940454,1,2,1,6135.158777,1,2,1,5202.985048,1,2,3
zBW_problem_6_102__0,2339.957714,1,2,1,6855.814219,1,2,1,6261.180401,1,2,3
ferry-l6-c6__64,2341.367483,1,2,1,5551.125765,1,1,,5673.882961,1,1,
ferry-l6-c6__76,2342.248201,1,2,1,5465.442657,1,1,,5637.565613,1,1,
ferry-l6-c6__40,2342.279196,1,2,1,5879.286766,1,1,,5820.845127,1,1,
ferry-l6-c6__42,2343.641043,1,2,1,5621.113539,1,1,,5726.311445,1,1,
zBW_problem_6_107__0,2344.353914,1,2,1,7052.166224,1,2,1,6037.787437,0,-1,-1
ferry-l6-c6__17,2344.681025,1,2,1,5500.93174,1,1,,6211.152792,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__4,2344.861984,1,2,1,,,,,5879.286766,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__44,2346.35067,1,2,1,,,,,5642.473459,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__21,2346.587658,1,2,1,,,,,5952.316523,1,1,
ferry-l6-c6__5,2348.885059,1,2,1,5520.509005,1,1,,5529.250622,1,1,
ferry-l6-c6__26,2352.832317,1,2,1,5512.365103,1,1,,5504.89378,1,1,
zBW_problem_6_175__0,2355.256081,1,2,1,6237.04505,1,2,1,5137.198448,0,-1,-1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__4,2355.447531,1,2,1,,,,,5421.662807,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__48,2356.604099,1,2,1,,,,,5445.604563,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__5,2357.079268,1,2,1,,,,,5621.113539,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__10,2357.913256,1,2,1,,,,,5656.330109,1,1,
zBW_problem_6_128__0,2358.942986,1,2,1,6537.598848,1,2,1,8695.987701,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__20,2360.039949,1,2,1,,,,,5619.299173,1,1,
zBW_problem_6_112__0,2361.068964,1,2,1,5848.402023,1,2,1,4915.575981,1,2,3
ferry-l6-c6__81,2361.609459,1,2,1,5583.742619,1,1,,5154.761791,1,1,
zBW_problem_10_91__0,2362.015009,1,2,1,5924.354076,1,2,1,5152.500629,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__25,2363.42454,1,2,1,,,,,5512.365103,1,1,
