Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
zBW_problem_10_97__0,7036.528587,1,2,1,11151.56913,1,2,1,5056.164265,1,2,3
DL_problem_4_6_7_138__0,8037.217855,1,2,1,12775.43545,1,2,1,5234.520435,1,2,3
zBW_problem_12_30__0,8096.662045,1,2,1,12196.36536,1,2,1,5354.947805,1,2,3
zBW_problem_12_31__0,8157.631159,1,2,1,12289.38007,1,2,1,12029.64497,1,2,1
DL_problem_4_6_7_175__0,8212.471247,1,2,1,12307.33204,1,2,1,5572.136641,1,2,3
zBW_problem_12_57__0,8360.810757,1,2,1,14890.1422,1,2,1,5427.970171,1,2,3
zBW_problem_12_7__0,9145.134926,1,2,1,13514.12654,1,2,1,13193.35341,1,2,1
DL_problem_4_6_7_139__0,9298.973322,1,2,1,12705.66702,1,2,1,5026.079178,1,2,3
zBW_problem_12_11__0,9337.546587,1,2,1,13533.82754,1,2,1,14527.70615,1,2,1
zBW_problem_12_27__0,10676.07164,1,2,1,14471.04645,1,2,1,15828.49979,1,2,1
zBW_problem_12_70__0,11133.4362,1,2,1,15044.89422,1,2,1,15874.70555,1,2,1
zBW_problem_12_19__0,12436.3451,1,2,1,16208.10127,1,2,1,5238.067627,1,2,3
zBW_problem_12_29__0,13274.79911,1,2,1,17783.57792,1,2,1,5596.650124,1,2,3
zBW_problem_12_60__0,13553.78914,1,2,1,20323.30441,1,2,1,5540.208101,1,2,3
zBW_problem_12_3__0,15387.56394,1,2,1,19395.17951,1,2,1,5605.284452,1,2,3
DL_problem_4_6_7_171__0,18577.25215,1,2,1,22798.0473,1,2,1,5334.488392,1,2,3
zBW_problem_12_26__0,19289.29305,1,2,1,25135.20479,1,2,1,6161.056042,1,2,3
zBW_problem_12_4__0,21730.85308,1,2,1,26403.39255,1,2,1,5621.79327,1,2,3
DL_problem_4_6_7_186__0,21731.69398,1,2,1,25815.24611,1,2,1,5459.329128,1,2,3
zBW_problem_12_24__0,23903.46837,1,2,1,27324.55683,1,2,1,5544.636011,1,2,3
DL_problem_4_6_7_147__0,24255.50795,1,2,1,28518.63122,1,2,1,5984.218836,1,2,3
DL_problem_4_6_7_195__0,26971.59505,1,2,1,31174.55029,1,2,1,5461.023092,1,2,3
zBW_problem_12_41__0,27347.99957,1,2,1,31064.33582,1,2,1,5236.958981,1,2,3
zBW_problem_12_28__0,29577.54707,1,2,1,35338.46807,1,2,1,8069.801807,1,2,3
zBW_problem_12_63__0,39275.98667,1,2,1,45543.55884,1,2,1,46473.5291,1,2,1
zBW_problem_10_109__0,43110.36801,1,2,1,46874.69387,1,2,1,5467.010975,1,2,3
DL_problem_4_6_7_120__0,43467.88955,1,2,1,50374.75467,1,2,1,5580.545425,1,2,3
zBW_problem_12_54__0,44773.91076,1,2,1,48826.67589,1,2,1,6298.735857,1,2,3
zBW_problem_12_33__0,51049.95561,1,2,1,56099.44391,1,2,1,56249.58515,1,2,1
DL_problem_4_6_7_162__0,53060.42767,1,2,1,57314.94522,1,2,1,5295.504093,1,2,3
zBW_problem_12_35__0,56233.7482,1,2,1,60816.70451,0,-1,-1,5484.845877,1,2,3
zBW_problem_12_49__0,56891.43467,1,2,1,60406.25906,0,-1,-1,5905.880451,1,2,3
DL_problem_4_6_7_145__0,60442.81554,1,2,1,60332.10397,0,-1,-1,5865.260363,1,2,3
zBW_problem_12_45__0,60848.04392,1,2,1,60145.28799,0,-1,-1,5666.073322,1,2,3
DL_problem_4_6_7_176__0,61015.92088,1,2,1,60944.69762,0,-1,-1,5307.17063,1,2,3
DL_problem_4_6_7_136__0,61089.33139,0,-1,-1,60406.31318,0,-1,-1,5665.223598,1,2,3
zBW_problem_12_12__0,61090.101,0,-1,-1,61084.3122,0,-1,-1,5867.068291,1,2,3
DL_problem_4_6_7_178__0,61091.01224,0,-1,-1,60478.65057,0,-1,-1,5826.405764,1,2,3
DL_problem_4_6_7_156__0,61096.17996,0,-1,-1,60359.69615,0,-1,-1,5665.714741,1,2,3
DL_problem_4_6_7_143__0,61096.55428,0,-1,-1,60961.55477,0,-1,-1,5981.847048,1,2,3
DL_problem_4_6_7_172__0,61108.75392,0,-1,-1,60860.13436,0,-1,-1,6201.198101,1,2,3
DL_problem_4_6_7_131__0,61111.41062,0,-1,-1,60577.56329,0,-1,-1,6114.974022,1,2,3
DL_problem_4_6_7_132__0,61112.32376,0,-1,-1,61067.42001,0,-1,-1,5942.937374,1,2,3
DL_problem_4_6_7_124__0,61114.02941,0,-1,-1,60783.08249,0,-1,-1,5581.513643,1,2,3
DL_problem_4_6_7_163__0,61116.31227,0,-1,-1,60529.64973,0,-1,-1,5584.62286,1,2,3
DL_problem_4_6_7_125__0,61117.14697,0,-1,-1,60697.1705,0,-1,-1,5599.760294,1,2,3
DL_problem_4_6_7_118__0,61117.76996,0,-1,-1,60510.09345,0,-1,-1,6170.617819,1,2,3
DL_problem_4_6_7_197__0,61119.43507,0,-1,-1,60639.39071,0,-1,-1,6158.165216,1,2,3
DL_problem_4_6_7_122__0,61120.7099,0,-1,-1,60442.14964,0,-1,-1,5779.313564,1,2,3
DL_problem_4_6_7_127__0,61120.88561,0,-1,-1,60263.85236,0,-1,-1,5526.835203,1,2,3
DL_problem_4_6_7_179__0,61122.82872,0,-1,-1,60536.70287,0,-1,-1,5930.218458,1,2,3
zBW_problem_12_16__0,61122.96152,0,-1,-1,60948.93789,0,-1,-1,5465.436935,1,2,3
DL_problem_4_6_7_166__0,61124.77446,0,-1,-1,60476.34172,0,-1,-1,5882.073402,1,2,3
DL_problem_4_6_7_187__0,61126.35612,0,-1,-1,60957.31735,0,-1,-1,5805.708885,1,2,3
DL_problem_4_6_7_141__0,61126.7395,0,-1,-1,60719.47789,0,-1,-1,5651.658058,1,2,3
DL_problem_4_6_7_173__0,61126.87135,0,-1,-1,60531.48413,0,-1,-1,6459.400177,1,2,3
DL_problem_4_6_7_165__0,61127.17843,0,-1,-1,60713.35006,0,-1,-1,5586.805105,1,2,3
DL_problem_4_6_7_146__0,61127.85625,0,-1,-1,60435.60314,0,-1,-1,6342.885017,1,2,3
DL_problem_4_6_7_116__0,61128.68404,0,-1,-1,60374.60589,0,-1,-1,5634.978533,1,2,3
DL_problem_4_6_7_190__0,61128.72386,0,-1,-1,61059.35931,0,-1,-1,6177.213907,1,2,3
DL_problem_4_6_7_192__0,61129.00591,0,-1,-1,60539.17956,0,-1,-1,6136.134624,1,2,3
DL_problem_4_6_7_152__0,61130.33152,0,-1,-1,60825.03891,0,-1,-1,5837.648869,1,2,3
DL_problem_4_6_7_153__0,61130.40185,0,-1,-1,60977.42915,0,-1,-1,5773.192644,1,2,3
DL_problem_5_7_9_10__0,61131.04415,0,-1,-1,60731.18138,0,-1,-1,5903.739452,1,2,3
DL_problem_4_6_7_137__0,61131.13213,0,-1,-1,60429.58927,0,-1,-1,5624.149084,1,2,3
DL_problem_4_6_7_164__0,61131.77013,0,-1,-1,60753.8054,0,-1,-1,5668.488503,1,2,3
DL_problem_4_6_7_199__0,61132.792,0,-1,-1,60712.10456,0,-1,-1,5864.568949,1,2,3
DL_problem_4_6_7_169__0,61133.76904,0,-1,-1,60577.57068,0,-1,-1,5724.407434,1,1,
DL_problem_4_6_7_189__0,61134.06539,0,-1,-1,60961.6189,0,-1,-1,6195.922613,1,2,3
DL_problem_4_6_7_180__0,61134.57274,0,-1,-1,60310.65178,0,-1,-1,5672.499657,1,2,3
DL_problem_5_7_9_14__0,61135.11872,0,-1,-1,61257.93934,0,-1,-1,5293.658257,1,2,3
DL_problem_4_6_7_123__0,61135.47635,0,-1,-1,60913.58018,0,-1,-1,6382.021904,1,2,3
DL_problem_4_6_7_185__0,61137.29143,0,-1,-1,60529.06418,0,-1,-1,5933.592796,1,2,3
DL_problem_5_7_9_11__0,61138.25226,0,-1,-1,61132.66087,0,-1,-1,5808.702946,1,2,3
DL_problem_4_6_7_151__0,61138.27252,0,-1,-1,60939.66722,0,-1,-1,6103.979826,1,2,3
DL_problem_5_7_9_18__0,61139.17065,0,-1,-1,60570.16373,0,-1,-1,6071.192265,1,2,3
zBW_problem_12_47__0,61139.34207,0,-1,-1,60263.61012,0,-1,-1,60297.61791,0,-1,-1
DL_problem_4_6_7_159__0,61139.70757,0,-1,-1,60958.00757,0,-1,-1,5585.314989,1,2,3
DL_problem_5_7_9_13__0,61140.40613,0,-1,-1,60724.33281,0,-1,-1,6512.541294,1,2,3
zBW_problem_12_68__0,61141.77966,0,-1,-1,60935.47702,0,-1,-1,5177.599192,1,2,3
zBW_problem_12_34__0,61141.84856,0,-1,-1,60710.43849,0,-1,-1,60468.18852,0,-1,-1
zBW_problem_12_42__0,61142.9863,0,-1,-1,61050.62461,0,-1,-1,5777.620077,1,2,3
DL_problem_4_6_7_149__0,61143.24427,0,-1,-1,60171.82517,0,-1,-1,5681.768417,1,2,3
DL_problem_4_6_7_193__0,61143.45264,0,-1,-1,60177.20771,0,-1,-1,5877.694607,1,2,3
DL_problem_4_6_7_133__0,61144.32025,0,-1,-1,60285.77995,0,-1,-1,5489.146471,1,2,3
zBW_problem_12_15__0,61144.55462,0,-1,-1,60235.31747,0,-1,-1,6952.406883,1,2,3
DL_problem_4_6_7_184__0,61145.09964,0,-1,-1,60888.90171,0,-1,-1,6351.132393,1,2,3
zBW_problem_12_20__0,61145.16473,0,-1,-1,60924.74127,0,-1,-1,5501.614094,1,2,3
DL_problem_4_6_7_188__0,61145.30873,0,-1,-1,60687.85977,0,-1,-1,5868.709803,1,2,3
DL_problem_4_6_7_198__0,61145.66898,0,-1,-1,60520.3917,0,-1,-1,5570.646524,1,2,3
DL_problem_4_6_7_183__0,61145.69592,0,-1,-1,60807.26385,0,-1,-1,6084.215879,1,2,3
DL_problem_4_6_7_114__0,61145.83111,0,-1,-1,60731.90665,0,-1,-1,5774.385929,1,2,3
DL_problem_4_6_7_130__0,61146.01707,0,-1,-1,60720.01863,0,-1,-1,5931.825638,1,2,3
DL_problem_4_6_7_142__0,61146.21043,0,-1,-1,60966.64548,0,-1,-1,5848.77491,1,2,3
zBW_problem_12_17__0,61148.1812,0,-1,-1,60311.99837,0,-1,-1,60256.77252,0,-1,-1
DL_problem_5_7_9_20__0,61148.3438,0,-1,-1,60899.93191,0,-1,-1,5863.365173,1,2,3
DL_problem_4_6_7_170__0,61148.52977,0,-1,-1,60536.37576,0,-1,-1,6402.627945,1,2,3
DL_problem_5_7_9_16__0,61150.04086,0,-1,-1,60382.76792,0,-1,-1,5719.916105,1,2,3
DL_problem_4_6_7_161__0,61150.0442,0,-1,-1,60613.01255,0,-1,-1,5655.653238,1,2,3
DL_problem_4_6_7_129__0,61150.15483,0,-1,-1,61028.65195,0,-1,-1,5898.278952,1,2,3
DL_problem_4_6_7_128__0,61151.41201,0,-1,-1,60835.90221,0,-1,-1,6032.640696,1,2,3
DL_problem_4_6_7_182__0,61151.71647,0,-1,-1,60431.65827,0,-1,-1,5767.896652,1,2,3
DL_problem_4_6_7_167__0,61152.01354,0,-1,-1,60919.873,0,-1,-1,6176.406384,1,2,3
zBW_problem_12_38__0,61153.12195,0,-1,-1,60649.02234,0,-1,-1,5636.93428,1,2,3
zBW_problem_12_51__0,61153.52845,0,-1,-1,60574.99123,0,-1,-1,5411.273479,1,2,3
zBW_problem_12_23__0,61153.93209,0,-1,-1,60231.46653,0,-1,-1,6095.123291,1,2,3
zBW_problem_12_58__0,61153.95021,0,-1,-1,60257.02381,0,-1,-1,5187.772751,1,2,3
DL_problem_4_6_7_191__0,61154.63281,0,-1,-1,60686.39493,0,-1,-1,5980.548382,1,2,3
zBW_problem_12_56__0,61156.61263,0,-1,-1,60450.82283,0,-1,-1,61373.39711,0,-1,-1
DL_problem_4_6_7_140__0,61158.48517,0,-1,-1,60830.70421,0,-1,-1,5843.94908,1,2,3
DL_problem_5_7_9_17__0,61159.16729,0,-1,-1,60149.02043,0,-1,-1,5890.221834,1,2,3
DL_problem_4_6_7_135__0,61160.38108,0,-1,-1,60487.22219,0,-1,-1,5874.523401,1,2,3
DL_problem_4_6_7_168__0,61160.77995,0,-1,-1,60368.63875,0,-1,-1,5295.162916,1,2,3
DL_problem_4_6_7_177__0,61161.40747,0,-1,-1,60814.19897,0,-1,-1,6338.660479,1,2,3
DL_problem_4_6_7_121__0,61161.43703,0,-1,-1,60514.50896,0,-1,-1,6176.966667,1,2,3
DL_problem_4_6_7_126__0,61161.63278,0,-1,-1,60413.72967,0,-1,-1,6139.784575,1,2,3
DL_problem_5_7_9_5__0,61162.30249,0,-1,-1,60235.19588,0,-1,-1,6099.496603,1,2,3
DL_problem_4_6_7_181__0,61162.72306,0,-1,-1,60398.34952,0,-1,-1,5213.378191,1,2,3
DL_problem_4_6_7_134__0,61163.28382,0,-1,-1,60969.74063,0,-1,-1,5813.600779,1,2,3
DL_problem_4_6_7_148__0,61163.96785,0,-1,-1,60971.50707,0,-1,-1,5867.204189,1,2,3
DL_problem_5_7_9_12__0,61164.2983,0,-1,-1,60662.48155,0,-1,-1,5563.652992,1,2,3
DL_problem_5_7_9_15__0,61164.41441,0,-1,-1,60294.13891,0,-1,-1,5931.032658,1,2,3
DL_problem_4_6_7_144__0,61166.5659,0,-1,-1,60902.08554,0,-1,-1,5958.219528,1,2,3
DL_problem_4_6_7_117__0,61166.9054,0,-1,-1,60681.70071,0,-1,-1,5889.144182,1,2,3
DL_problem_4_6_7_154__0,61167.93847,0,-1,-1,60616.27531,0,-1,-1,5963.60302,1,2,3
DL_problem_4_6_7_158__0,61168.79368,0,-1,-1,60987.42819,0,-1,-1,5729.159355,1,1,
DL_problem_4_6_7_157__0,61173.70844,0,-1,-1,60297.22357,0,-1,-1,5921.835423,1,2,3
DL_problem_4_6_7_196__0,61175.88663,0,-1,-1,60849.07031,0,-1,-1,5771.728992,1,2,3
DL_problem_4_6_7_194__0,61176.07641,0,-1,-1,60515.16938,0,-1,-1,6003.302813,1,2,3
zBW_problem_12_25__0,61179.42476,0,-1,-1,60766.67237,0,-1,-1,5464.790344,1,2,3
DL_problem_4_6_7_113__0,61180.02462,0,-1,-1,60931.77199,0,-1,-1,5749.420643,1,2,3
zBW_problem_12_69__0,61181.60081,0,-1,-1,60238.60168,0,-1,-1,4962.990761,1,2,3
DL_problem_4_6_7_155__0,61182.7879,0,-1,-1,61036.58366,0,-1,-1,6180.956364,1,2,3
zBW_problem_12_43__0,61187.40058,0,-1,-1,60277.32563,0,-1,-1,60182.92785,0,-1,-1
DL_problem_4_6_7_160__0,61191.02097,0,-1,-1,60665.81893,0,-1,-1,6029.306412,1,2,3
zBW_problem_12_32__0,61191.91599,0,-1,-1,60387.41922,0,-1,-1,5399.194717,1,2,3
zBW_problem_12_55__0,61216.19439,0,-1,-1,60215.23404,0,-1,-1,5819.580078,1,2,3
DL_problem_5_7_9_19__0,61216.38465,0,-1,-1,60262.40635,0,-1,-1,6523.848534,1,2,3
zBW_problem_12_48__0,61219.17534,0,-1,-1,60845.24679,0,-1,-1,5206.096649,1,2,3
DL_problem_4_6_7_115__0,61253.04031,0,-1,-1,60749.61352,0,-1,-1,6431.449652,1,2,3
