Problem-JAC,Time-JAC,Correctness-JAC,Sys-JAC,Problem-PF,Time-PF,Correctness-PF,Sys-PF,Problem-MIX,Time-MIX,Correctness-MIX,Sys-MIX,Problem-FD,Time-FD,Correctness-FD,Sys-FD
problem_10_37, 0.0,1.0,2,problem_10_40, 19698.694944381714,1.0,1,problem_10_41, 22882.113695144653,1.0,1,problem_10_37, 0.0,1.0,2
problem_10_38, 2312.5,1.0,2,problem_10_41, 20563.07029724121,1.0,1,problem_10_43, 20621.385097503662,0.9230769230769231,1,problem_10_38, 2296.8799999999997,1.0,2
problem_10_39, 906.25,1.0,2,problem_10_43, 18972.78666496277,0.7692307692307693,1,problem_10_44, 20120.001077651978,1.0,1,problem_10_39, 890.625,1.0,2
problem_10_4, 7.499456405639648,1.0,1,problem_10_44, 18938.66014480591,1.0,1,problem_10_45, 16401.69596672058,0.9230769230769231,1,problem_10_4, 15.625,1.0,2
problem_10_40, 15.625,1.0,2,problem_10_45, 15865.292072296143,0.9230769230769231,1,problem_10_46, 22867.64931678772,0.9166666666666666,1,problem_10_40, 15.625,1.0,2
problem_10_41, 125.0,1.0,2,problem_10_46, 21475.45838356018,0.9166666666666666,1,problem_10_47, 17849.771738052368,0.8461538461538461,1,problem_10_41, 187.5,1.0,2
problem_10_42, 4843.75,1.0,2,problem_10_47, 16754.528522491455,0.8461538461538461,1,problem_10_49, 24200.22439956665,0.8461538461538461,1,problem_10_42, 7171.88,1.0,2
problem_10_43, 31.25,1.0,2,problem_10_49, 22668.710470199585,0.9230769230769231,1,problem_10_5, 24137.988328933716,1.0,1,problem_10_43, 31.25,1.0,2
problem_10_44, 171.875,1.0,2,problem_10_5, 23676.25856399536,0.9090909090909091,1,problem_10_50, 24184.482097625732,0.9090909090909091,1,problem_10_44, 234.375,1.0,2
problem_10_45, 31.25,1.0,2,problem_10_7, 18112.456798553467,1.0,1,problem_10_7, 19078.84383201599,1.0,1,problem_10_45, 15.625,1.0,2
problem_10_46, 3046.8799999999997,1.0,2,problem_10_8, 19428.467988967896,0.9230769230769231,1,problem_10_8, 20442.57640838623,0.9230769230769231,1,problem_10_46, 3750.0,1.0,2
problem_10_47, 15.625,1.0,2,problem_10_9, 18214.715719223022,0.8571428571428571,1,problem_10_9, 19346.0533618927,0.8571428571428571,1,problem_10_47, 15.625,1.0,2
problem_10_48, 78.125,1.0,2,problem_11_1, 22490.145921707153,0.9166666666666666,1,problem_11_1, 23206.374406814575,0.9166666666666666,1,problem_10_48, 109.375,1.0,2
problem_10_49, 5609.38,1.0,2,problem_11_10, 23320.195198059082,0.8571428571428571,1,problem_11_10, 23211.854219436646,1.0,1,problem_10_49, 9140.62,1.0,2
problem_10_5, 3.9930343627929688,1.0,1,problem_11_11, 17312.488794326782,1.0,1,problem_11_11, 17549.62658882141,1.0,1,problem_10_5, 18625.0,1.0,2
problem_10_50, 4843.75,1.0,2,problem_11_12, 19281.524419784546,0.9285714285714286,1,problem_11_12, 20388.184547424316,0.9285714285714286,1,problem_10_50, 6000.0,1.0,2
problem_10_6, 6031.25,1.0,2,problem_11_13, 28489.052057266235,0.9285714285714286,1,problem_11_13, 28166.823387145996,0.7857142857142857,1,problem_10_6, 6703.12,1.0,2
problem_10_7, 31.25,1.0,2,problem_11_14, 18072.274684906006,0.9230769230769231,1,problem_11_14, 18919.439792633057,1.0,1,problem_10_7, 31.25,1.0,2
problem_10_8, 484.375,1.0,2,problem_11_16, 27644.0327167511,0.9230769230769231,1,problem_11_16, 28717.17596054077,0.9230769230769231,1,problem_10_8, 484.375,1.0,2
problem_10_9, 15.625,1.0,2,problem_11_18, 16889.591932296753,0.9285714285714286,1,problem_11_18, 19135.60914993286,0.9285714285714286,1,problem_10_9, 15.625,1.0,2
problem_11_1, 218.75,1.0,2,problem_11_19, 22043.993949890137,0.9285714285714286,1,problem_11_19, 23888.646125793457,0.9285714285714286,1,problem_11_1, 171.875,1.0,2
problem_11_10, 8.161306381225586,1.0,1,problem_11_2, 21318.37797164917,0.8571428571428571,1,problem_11_2, 24480.03625869751,1.0,1,problem_11_10, 4328.12,1.0,2
problem_11_11, 8.394956588745117,1.0,1,problem_11_20, 20333.33659172058,0.6923076923076923,1,problem_11_20, 21203.55772972107,0.7692307692307693,1,problem_11_11, 2828.1200000000003,1.0,2
problem_11_12, 140.625,1.0,2,problem_11_22, 20525.16770362854,0.9230769230769231,1,problem_11_22, 20657.642602920532,0.7692307692307693,1,problem_11_12, 140.625,1.0,2
problem_11_13, 20890.6,1.0,2,problem_11_23, 28439.554929733276,0.9166666666666666,1,problem_11_24, 21473.773956298828,0.9285714285714286,1,problem_11_13, 20515.6,1.0,2
problem_11_14, 10078.099999999999,1.0,2,problem_11_24, 20608.844995498657,0.9285714285714286,1,problem_11_26, 21630.605459213257,0.9285714285714286,1,problem_11_14, 9796.88,1.0,2
problem_11_15, 90000.0,0,-1,problem_11_25, 19867.135286331177,0.5833333333333334,1,problem_11_27, 19583.733320236206,0.9375,1,problem_11_15, 90000.0,0,-1
problem_11_16, 2500.0,1.0,2,problem_11_26, 21034.385204315186,0.9285714285714286,1,problem_11_28, 24116.86396598816,0.6923076923076923,1,problem_11_16, 2406.25,1.0,2
problem_11_17, 8640.62,1.0,2,problem_11_27, 18811.076164245605,0.9375,1,problem_11_29, 21594.26474571228,0.8461538461538461,1,problem_11_17, 8593.75,1.0,2
problem_11_18, 656.25,1.0,2,problem_11_28, 23024.089574813843,0.6923076923076923,1,problem_11_3, 24515.685319900513,0.9285714285714286,1,problem_11_18, 640.625,1.0,2
problem_11_19, 1156.25,1.0,2,problem_11_29, 20609.368801116943,0.8461538461538461,1,problem_11_32, 24269.358158111572,1.0,1,problem_11_19, 1156.25,1.0,2
