Problem-JAC,Jaccard,Correctness-JAC,Sys-JAC,Problem-PF,SOFAIxPlansformers,Correctness-PF,Sys-PF,Problem-MIX,SOFAIxPlanning,Correctness-MIX,Sys-MIX,Problem-FD,Fast Downward,Correctness-FD,Sys-FD
problem_04_0458,16.678571701049805,1.0,1,problem_04_0458,11398.9999294281,1.0,1,problem_04_0459,11124.431848526,1.0,1,problem_04_0458,0.0,1.0,2
problem_04_0459,16.953229904174805,0.8,1,problem_04_0459,11133.702993392944,1.0,1,problem_04_0460,8663.01703453064,1.0,1,problem_04_0459,15.625,1.0,2
problem_04_0460,0.0,1.0,2,problem_04_0460,8994.843244552612,1.0,1,problem_04_0461,12316.638708114624,1.0,1,problem_04_0460,0.0,1.0,2
problem_04_0461,0.0,1.0,2,problem_04_0461,12182.88803100586,1.0,1,problem_04_0462,10760.73932647705,1.0,1,problem_04_0461,0.0,1.0,2
problem_04_0462,16.057729721069336,0.6666666666666666,1,problem_04_0462,10861.435413360596,1.0,1,problem_04_0463,8844.763040542603,1.0,1,problem_04_0462,0.0,1.0,2
problem_04_0463,16.89291000366211,0.6666666666666666,1,problem_04_0463,9094.2964553833,1.0,1,problem_04_0464,12010.203123092651,1.0,1,problem_04_0463,0.0,1.0,2
problem_04_0464,16.357898712158203,0.8,1,problem_04_0464,12000.58889389038,1.0,1,problem_04_0465,11886.903285980225,1.0,1,problem_04_0464,15.625,1.0,2
problem_04_0465,0.0,1.0,2,problem_04_0465,11999.711275100708,1.0,1,problem_04_0466,9905.197858810425,1.0,1,problem_04_0465,15.625,1.0,2
problem_04_0466,0.0,1.0,2,problem_04_0466,10074.23186302185,1.0,1,problem_04_0467,10850.068092346191,1.0,1,problem_04_0466,0.0,1.0,2
problem_04_0467,0.0,1.0,2,problem_04_0467,10953.54390144348,1.0,1,problem_04_0468,10879.68921661377,1.0,1,problem_04_0467,0.0,1.0,2
