problem_12_7, 1328.12,1.0,2
problem_12_8, 90000.0,0,-1
problem_12_9, 90000.0,0,-1
problem_13_1, 11765.599999999999,1.0,2
problem_13_10, 21687.5,1.0,2
problem_13_11, 1796.88,1.0,2
problem_13_12, 90000.0,0,-1
problem_13_13, 218.75,1.0,2
problem_13_14, 39062.5,1.0,2
problem_13_15, 90000.0,0,-1
problem_13_16, 90000.0,0,-1
problem_13_17, 90000.0,0,-1
problem_13_18, 90000.0,0,-1
problem_13_19, 90000.0,0,-1
problem_13_2, 90000.0,0,-1
problem_13_20, 90000.0,0,-1
problem_13_21, 90000.0,0,-1
problem_13_22, 13703.099999999999,1.0,2
problem_13_23, 90000.0,0,-1
problem_13_24, 90000.0,0,-1
problem_13_25, 90000.0,0,-1
problem_13_26, 90000.0,0,-1
problem_13_27, 90000.0,0,-1
problem_13_28, 6656.25,1.0,2
problem_13_29, 90000.0,0,-1
problem_13_3, 90000.0,0,-1
problem_13_30, 90000.0,0,-1
problem_13_31, 90000.0,0,-1
problem_13_32, 90000.0,0,-1
problem_13_33, 90000.0,0,-1
problem_13_34, 90000.0,0,-1
problem_13_35, 125.0,1.0,2
problem_13_36, 90000.0,0,-1
problem_13_37, 18234.4,1.0,2
problem_13_38, 90000.0,0,-1
problem_13_39, 10.790824890136719,0.9411764705882353,1
problem_13_4, 90000.0,0,-1
problem_13_40, 90000.0,0,-1
problem_13_41, 90000.0,0,-1
problem_13_42, 30390.6,1.0,2
problem_13_43, 90000.0,0,-1
problem_13_44, 24687.5,1.0,2
problem_13_45, 90000.0,0,-1
problem_13_46, 90000.0,0,-1
problem_13_47, 90000.0,0,-1
problem_13_48, 11.566638946533203,0.5,1
problem_13_49, 90000.0,0,-1
problem_13_5, 781.25,1.0,2
problem_13_50, 90000.0,0,-1
problem_13_6, 265.625,1.0,2
problem_13_7, 45468.8,1.0,2
problem_13_8, 90000.0,0,-1
problem_13_9, 90000.0,0,-1
problem_4_421, 0.0,1.0,2
problem_4_422, 0.0,1.0,2
problem_4_423, 0.0,1.0,2
problem_4_424, 6.827116012573242,0.6666666666666666,1
problem_4_425, 0.0,1.0,2
problem_4_426, 0.0,1.0,2
problem_4_427, 0.0,1.0,2
problem_4_428, 0.0,1.0,2
problem_4_429, 0.0,1.0,2
problem_4_430, 7.437467575073242,0.6666666666666666,1
problem_4_431, 0.0,1.0,2
problem_4_432, 0.0,1.0,2
problem_4_433, 0.0,1.0,2
problem_4_434, 0.0,1.0,2
problem_4_435, 0.0,1.0,2
problem_4_436, 0.0,1.0,2
problem_4_437, 7.169008255004883,0.7142857142857143,1
problem_4_438, 0.0,1.0,2
problem_4_439, 0.0,1.0,2
problem_4_440, 0.0,1.0,2
problem_4_441, 0.0,1.0,2
problem_4_442, 0.0,1.0,2
problem_4_443, 0.0,1.0,2
problem_4_444, 0.0,1.0,2
problem_4_445, 7.709980010986328,0.5,1
problem_4_446, 0.0,1.0,2
problem_4_447, 0.0,1.0,2
problem_4_448, 0.0,1.0,2
problem_4_449, 0.0,1.0,2
problem_4_450, 0.0,1.0,2
problem_4_451, 15.073776245117188,0.6666666666666666,1
problem_4_452, 0.0,1.0,2
problem_4_453, 0.0,1.0,2
problem_4_454, 0.0,1.0,2
problem_4_455, 7.654666900634766,0.6666666666666666,1
problem_4_456, 0.0,1.0,2
problem_4_457, 0.0,1.0,2
problem_4_458, 0.0,1.0,2
problem_4_459, 11.587142944335938,0.8,1
problem_4_460, 0.0,1.0,2
problem_4_461, 0.0,1.0,2
problem_4_462, 11.77835464477539,0.6666666666666666,1
problem_4_463, 7.699728012084961,0.6666666666666666,1
problem_4_464, 7.628917694091797,0.8,1
problem_4_465, 0.0,1.0,2
problem_4_466, 0.0,1.0,2
problem_4_467, 0.0,1.0,2
problem_4_468, 8.117437362670898,0.8333333333333334,1
problem_4_469, 12.647628784179688,0.6666666666666666,1
problem_4_470, 0.0,1.0,2
problem_5_1, 0.0,1.0,2
problem_5_10, 0.0,1.0,2
problem_5_11, 15.625,1.0,2
problem_5_12, 15.625,1.0,2
problem_5_13, 0.0,1.0,2
problem_5_14, 0.0,1.0,2
problem_5_15, 0.0,1.0,2
problem_5_16, 7.805824279785156,0.7142857142857143,1
problem_5_17, 0.0,1.0,2
problem_5_18, 0.0,1.0,2
problem_5_19, 0.0,1.0,2
problem_5_2, 0.0,1.0,2
problem_5_20, 0.0,1.0,2
problem_5_21, 0.0,1.0,2
problem_5_22, 8.397579193115234,1.0,1
problem_5_23, 0.0,1.0,2
problem_5_24, 11.903524398803711,0.7142857142857143,1
problem_5_25, 0.0,1.0,2
problem_5_26, 15.625,1.0,2
problem_5_27, 8.346796035766602,0.8333333333333334,1
problem_5_28, 0.0,1.0,2
problem_5_29, 0.0,1.0,2
problem_5_3, 0.0,1.0,2
problem_5_30, 12.32600212097168,0.75,1
problem_5_31, 0.0,1.0,2
problem_5_32, 0.0,1.0,2
problem_5_33, 0.0,1.0,2
problem_5_34, 0.0,1.0,2
problem_5_35, 0.0,1.0,2
problem_5_36, 0.0,1.0,2
problem_5_37, 0.0,1.0,2
problem_5_38, 0.0,1.0,2
problem_5_39, 12.417316436767578,0.5714285714285714,1
problem_5_4, 0.0,1.0,2
problem_5_40, 0.0,1.0,2
problem_5_41, 8.64267349243164,0.7142857142857143,1
problem_5_42, 8.689403533935547,0.7142857142857143,1
problem_5_43, 15.625,1.0,2
problem_5_44, 0.0,1.0,2
problem_5_45, 0.0,1.0,2
problem_5_46, 0.0,1.0,2
problem_5_47, 12.559175491333008,0.8333333333333334,1
problem_5_48, 0.0,1.0,2
problem_5_49, 0.0,1.0,2
problem_5_5, 0.0,1.0,2
problem_5_50, 0.0,1.0,2
problem_5_6, 0.0,1.0,2
problem_5_7, 0.0,1.0,2
problem_5_8, 12.562274932861328,0.8333333333333334,1
problem_5_9, 0.0,1.0,2
